N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
171,동원시스템즈,"61,500","1,700",-2.69%,"5,000","15,755","25,619",1.62,"65,473",29.23,10.97,
172,두산,"95,300","4,300",-4.32%,"5,000","15,747","16,524",11.13,"63,421",-155.97,-34.34,
173,DL,"74,800","1,100",-1.45%,"5,000","15,675","20,956",14.38,"75,465",2.41,11.84,
174,KODEX 레버리지,"23,790",770,-3.14%,0,"15,606","65,600",2.53,"15,778,182",N/A,N/A,
175,금호타이어,"5,410",100,-1.81%,"5,000","15,541","287,260",4.14,"245,504",73.11,-6.74,
176,진원생명과학,"34,250",50,-0.15%,"1,000","15,485","45,212",12.51,"513,244",-71.80,-30.43,
177,한미반도체,"30,700",400,-1.29%,200,"15,184","49,460",6.11,"142,927",20.47,21.03,
178,TIGER 단기통안채,"100,340",0,0.00%,0,"14,872","14,822",0.80,"1,316",N/A,N/A,
179,한국앤컴퍼니,"15,650",250,-1.57%,500,"14,857","94,935",9.75,"60,439",5.99,5.08,
180,코스모신소재,"49,050",100,+0.20%,"1,000","14,758","30,087",7.54,"318,387",77.73,7.16,
181,종근당,"128,500","8,000",+6.64%,"2,500","14,683","11,426",7.81,"637,319",17.25,17.88,
182,녹십자홀딩스,"31,200",350,-1.11%,500,"14,673","47,028",5.39,"45,718",9.62,19.74,
183,SK가스,"157,500","3,500",-2.17%,"5,000","14,538","9,230",6.88,"26,652",5.87,14.91,
184,KODEX 단기채권PLUS,"103,250",10,+0.01%,0,"14,448","13,993",0.00,"2,616,919",N/A,N/A,
185,KODEX 종합채권(AA-이상)액티브,"108,475",95,+0.09%,0,"14,445","13,316",0.00,"3,928",N/A,N/A,
186,롯데관광개발,"20,500",500,-2.38%,500,"14,202","69,276",6.74,"317,465",-9.08,-30.43,
187,롯데렌탈,"38,700",900,-2.27%,"5,000","14,177","36,634",0.91,"147,313",19.75,6.73,
188,솔루엠,"28,150",100,+0.36%,500,"14,077","50,006",8.70,"241,637",35.23,43.26,
189,아이에스동서,"45,500",950,-2.05%,500,"14,056","30,893",4.52,"56,586",12.97,10.92,
190,대한유화,"216,000","1,000",+0.47%,"5,000","14,040","6,500",13.28,"35,504",6.04,6.93,
191,명신산업,"26,650",700,-2.56%,500,"13,983","52,470",1.79,"292,414",-11.56,-67.39,
192,코스맥스,"122,500","2,000",-1.61%,500,"13,903","11,350",24.05,"36,752",28.38,6.23,
193,롯데칠성,"148,000",500,+0.34%,500,"13,733","9,279",8.54,"13,452",60.29,-1.00,
194,NHN,"70,000",200,-0.28%,500,"13,696","19,565",12.04,"15,953",62.50,1.35,
195,LX인터내셔널,"35,100",500,+1.45%,"5,000","13,605","38,760",25.42,"654,351",7.86,23.72,
196,롯데리츠,"5,530",10,-0.18%,500,"13,436","242,969",10.05,"139,852",70.00,1.68,
197,LG생활건강우,"638,000","4,000",-0.62%,"5,000","13,396","2,100",84.24,"1,031",13.40,N/A,
198,F&F홀딩스,"34,200","1,000",-2.84%,500,"13,377","39,114",0.56,"77,701",0.25,16.59,
199,신세계인터내셔날,"185,500","4,500",-2.37%,"5,000","13,245","7,140",5.11,"7,829",18.27,8.24,
200,KG동부제철,"12,950",800,-5.82%,"5,000","12,951","100,009",1.44,"198,991",10.59,7.18,
