번호,인허가일자,상세영업상태코드,폐업일자,소재지우편번호,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y),다중이용업소여부,시설총규모
16782,19731011,2,20120829,609834,부산광역시 금정구 서동 302-1732번지,부산광역시 금정구 서동로 78 (서동),종,2.01205E+13,I,2018-08-31 23:59:59.0,390730.5535,192908.5979,N,59.95
16783,19740522,2,20070430,609840,부산광역시 금정구 장전동 351-2번지,,수 미,2.00409E+13,I,2018-08-31 23:59:59.0,,,N,0
16784,19740604,2,19990721,609824,부산광역시 금정구 부곡동 889-53번지,,밀,2.00108E+13,I,2018-08-31 23:59:59.0,389929.3887,192906.2171,N,0
16785,19740702,2,20090406,609809,부산광역시 금정구 금사동 111-3번지,,삼거리,2.00612E+13,I,2018-08-31 23:59:59.0,392689.1756,192890.0238,N,64.46
16786,19740702,2,20010112,609824,부산광역시 금정구 부곡동 394-17번지,,고려,2.00108E+13,I,2018-08-31 23:59:59.0,390052.606,193236.9631,N,0
16789,19741119,2,20141229,609410,"부산광역시 금정구 금사동 68-6번지 ,7","부산광역시 금정구 개좌로 89-7 (금사동,,7)",금사커피숖,2.0071E+13,I,2018-08-31 23:59:59.0,392276.7049,193324.7715,N,63.63
16790,19770827,2,20180919,609809,부산광역시 금정구 금사동 111-6번지,부산광역시 금정구 반송로 487 (금사동),석대다방,2.01809E+13,U,2018-09-19 23:59:59.0,392671.1341,192875.7605,N,55.41
16792,20010607,2,20031030,609839,부산광역시 금정구 장전동 643-89번지,,에덴,2.0031E+13,I,2018-08-31 23:59:59.0,390103.5911,194213.1342,N,0
16793,20010607,2,20090429,609800,부산광역시 금정구 구서동 415-101번지,,커피하우스,2.00401E+13,I,2018-08-31 23:59:59.0,390190.5372,196142.4307,N,0
16795,20010627,2,20030226,609843,부산광역시 금정구 청룡동 44-11번지,,로드팜,2.00108E+13,I,2018-08-31 23:59:59.0,390093.6856,199382.6048,N,0
16799,19790914,2,20190502,609837,부산광역시 금정구 장전동 203-14번지,"부산광역시 금정구 수림로 53, 2층 (장전동)",산까치,2.01905E+13,U,2019-05-04 02:40:00.0,389862.755,195387.4284,N,51.44
16800,19791228,2,20020805,609809,부산광역시 금정구 금사동 105-5번지,,풀잎,2.00208E+13,I,2018-08-31 23:59:59.0,391977.0185,192719.3913,N,0
16801,19800128,2,20040608,609822,부산광역시 금정구 부곡동 274-26번지,,동남커피,2.00404E+13,I,2018-08-31 23:59:59.0,390419.4222,194251.6612,N,0
16802,19800212,2,20030814,609833,부산광역시 금정구 서동 302-946번지,,밀,2.00202E+13,I,2018-08-31 23:59:59.0,391135.612,192763.689,N,0
16803,19800308,2,20041021,609808,부산광역시 금정구 금사동 34-1번지,,상원,2.00309E+13,I,2018-08-31 23:59:59.0,392359.3452,193588.3561,N,0
16804,19800320,2,20051117,609850,부산광역시 금정구 서동 207-9번지,,산호,2.00311E+13,I,2018-08-31 23:59:59.0,391945.3814,192735.9901,N,0
16805,19800419,2,20020124,609832,부산광역시 금정구 서동 294-19번지,,약 속,2.00201E+13,I,2018-08-31 23:59:59.0,391459.9533,192511.0841,N,0
16806,19800530,2,20120830,609806,부산광역시 금정구 구서동 458-15번지,부산광역시 금정구 금강로 417 (구서동),흙,2.00706E+13,I,2018-08-31 23:59:59.0,390005.8354,195951.1229,N,78.84
16807,19800626,2,20000418,609807,부산광역시 금정구 구서동 661-2번지,,현대다방,2.00108E+13,I,2018-08-31 23:59:59.0,,,N,0
16808,19800821,2,20000630,609840,부산광역시 금정구 장전동 399-9번지,,아도니스,2.00305E+13,I,2018-08-31 23:59:59.0,389714.0023,194438.7723,N,0
16809,19800927,2,20091120,609832,부산광역시 금정구 서동 280-22번지,,연,2.00108E+13,I,2018-08-31 23:59:59.0,391596.6974,192159.1162,N,0
16810,19801028,2,20030305,609842,부산광역시 금정구 장전동 617-13번지,,동백,2.00306E+13,I,2018-08-31 23:59:59.0,389515.2217,193656.7161,N,0
16811,19801105,2,20190319,609839,부산광역시 금정구 장전동 418-68번지,부산광역시 금정구 금강로 264 (장전동),테라스,2.01903E+13,U,2019-03-21 02:40:00.0,389769.2789,194472.4342,Y,116.65
16812,19801107,2,20030809,609809,부산광역시 금정구 금사동 69-1번지,,삼오,2.00307E+13,I,2018-08-31 23:59:59.0,392337.0055,193315.8902,N,0
16813,19810114,2,20060809,609830,부산광역시 금정구 서동 338-9번지,,동남,2.00504E+13,I,2018-08-31 23:59:59.0,391380.8458,192675.6032,N,0
16814,19810127,2,20000808,609843,부산광역시 금정구 청룡동 31-8번지,,돌,2.00108E+13,I,2018-08-31 23:59:59.0,390112.7682,199342.0866,N,0
16815,19810214,2,20040907,609841,부산광역시 금정구 장전동 576-3번지,,광 명,2.00311E+13,I,2018-08-31 23:59:59.0,389507.0114,193754.1055,N,0
16816,19810829,2,20141229,609843,부산광역시 금정구 청룡동 31-27번지,부산광역시 금정구 청룡예전로 25 (청룡동),청 하,2.01004E+13,I,2018-08-31 23:59:59.0,390118.9686,199329.5226,N,92.85
16820,20140702,2,20141110,619903,부산광역시 기장군 기장읍 대라리 57번지 외 12필지 1층 108호,"부산광역시 기장군 기장읍 차성동로 63, 1층 108호",팥이슈,2.01407E+13,I,2018-08-31 23:59:59.0,401671.5594,196027.5163,N,89
16821,20140714,2,20160425,,부산광역시 기장군 정관읍 모전리 689-11번지 1층,"부산광역시 기장군 정관읍 모전1길 78, 1층",모전1st,2.01409E+13,I,2018-08-31 23:59:59.0,397241.8315,206282.0447,N,105.6
16829,20140721,2,20140822,619911,"부산광역시 기장군 일광면 신평리 24-10번지 4층 중 1층,2층","부산광역시 기장군 일광면 문오성길 396 (4층 중1층,2층)",마레33.6커피숍,2.01407E+13,I,2018-08-31 23:59:59.0,405586.1778,201774.6081,N,93.11
16838,20090421,2,20190603,619903,부산광역시 기장군 기장읍 대라리 418-12번지 2층,부산광역시 기장군 기장읍 차성로288번길 8 (2층),온정커피숍,2.01906E+13,U,2019-06-05 02:40:00.0,401454.4616,195990.4319,N,66
16841,20091013,2,20210823,,부산광역시 기장군 정관읍 매학리 750-8,"부산광역시 기장군 정관읍 구연3로 3-56, 101호",띠-아모(Ti-amo),2.02108E+13,U,2021-08-25 02:40:00.0,398220.7497,204541.5198,N,0
16846,20110318,2,20171113,,부산광역시 기장군 정관읍 매학리 718-4번지 마치빌딩 208호 209호,부산광역시 기장군 정관읍 정관로 560 (마치빌딩 208호 209호),퀸즈브라운 정관신도시점,2.01711E+13,I,2018-08-31 23:59:59.0,397724.3939,204607.7232,Y,232
16847,20110329,2,20150527,,부산광역시 기장군 정관읍 매학리 763-4번지,부산광역시 기장군 정관읍 구연로 34,카페곰이,2.01103E+13,I,2018-08-31 23:59:59.0,398438.6971,204612.6014,N,29
16848,20110413,2,20120702,,부산광역시 기장군 정관읍 매학리 712-3번지 광장아울렛 1-123호,부산광역시 기장군 정관읍 정관7로 3 (광장아울렛 1-123호),도노,2.01104E+13,I,2018-08-31 23:59:59.0,397799.9293,204727.1312,N,47.55
16850,20110426,2,20140619,619906,부산광역시 기장군 기장읍 청강리 131-10번지,부산광역시 기장군 기장읍 청강로91번길 14,다선재,2.01208E+13,I,2018-08-31 23:59:59.0,402100.0406,195608.1541,N,98.99
16861,20110812,2,20130114,,부산광역시 기장군 정관읍 방곡리 422-5번지,부산광역시 기장군 정관읍 구연방곡로 46,네잎클로버(멀티샵),2.01108E+13,I,2018-08-31 23:59:59.0,398643.5807,204864.7514,N,69.3
16862,20110825,2,20170217,619905,부산광역시 기장군 기장읍 동부리 280-4번지,부산광역시 기장군 기장읍 차성동로 78,말괄량이 삐삐,2.01511E+13,I,2018-08-31 23:59:59.0,401724.5084,196190.0335,N,9.56
16863,20110831,2,20110919,619906,부산광역시 기장군 기장읍 청강리 90-37번지,,굿커피,2.01108E+13,I,2018-08-31 23:59:59.0,401757.9952,195617.4971,N,10
16864,20110906,2,20160906,619905,부산광역시 기장군 기장읍 동부리 361-6번지,부산광역시 기장군 기장읍 차성동로102번길 16,제이콥커피,2.01111E+13,I,2018-08-31 23:59:59.0,401789.7437,196407.4381,N,96.96
16865,20110923,2,20121022,619905,부산광역시 기장군 기장읍 동부리 393-4번지 1층 A동,"부산광역시 기장군 기장읍 차성로 359, A동 1층",도미젤라,2.01204E+13,I,2018-08-31 23:59:59.0,401408.338,196732.0874,N,74.71
16866,20111013,2,20210209,619902,부산광역시 기장군 기장읍 시랑리 170-5 B-Cube B/D 1층,부산광역시 기장군 기장읍 동암해안길 6 (B-Cube B/D 1층),끌레22(Cle' Twenty-two),2.02102E+13,U,2021-02-11 02:40:00.0,402294.8607,190673.025,N,460.87
16868,20120229,2,20151208,619903,부산광역시 기장군 기장읍 대라리 118-5번지,부산광역시 기장군 기장읍 차성로 273,커피나무,2.01208E+13,I,2018-08-31 23:59:59.0,401398.8676,195880.9983,N,28
16869,20121011,2,20150828,,부산광역시 기장군 정관읍 모전리 738-4번지 롯데타워 106호,"부산광역시 기장군 정관읍 정관로 389, 106호 (롯데타워)",커피를좋아하는이들과함께하는 커피이야기,2.01301E+13,I,2018-08-31 23:59:59.0,396839.4998,206070.2234,N,37
16870,19710802,2,19970129,619904,부산광역시 기장군 기장읍 대변리 443번지,,하나다방,2.00202E+13,I,2018-08-31 23:59:59.0,,,N,0
16871,19710802,2,20170320,619952,부산광역시 기장군 장안읍 길천리 188-2번지,부산광역시 기장군 장안읍 길천2길 76-7,고경다방,2.01703E+13,I,2018-08-31 23:59:59.0,407878.3123,205405.8794,N,0
16872,19710902,2,20010612,619953,부산광역시 기장군 장안읍 좌천리 205-0번지,,수다방,2.00202E+13,I,2018-08-31 23:59:59.0,403898.3266,203688.1253,N,0
16873,19711015,2,20141113,619903,부산광역시 기장군 기장읍 대라리 32-9번지,부산광역시 기장군 기장읍 차성로288번길 78,효정다방,2.00202E+13,I,2018-08-31 23:59:59.0,401810.9844,195983.9934,N,0
16875,20070604,2,20110810,609832,부산광역시 금정구 서동 302-642번지 (2층),,보리수커피숍,2.01105E+13,I,2018-08-31 23:59:59.0,391223.7305,192723.2663,N,37.4
